Date,Close,High,Low,Open,Volume,7_Day_MA,30_Day_MA,Daily_Volatility_%,7_Day_Momentum_%
2014-11-14,397.8179931640625,419.25201416015625,384.78900146484375,418.4169921875,29589200,383.6407165527344,362.49013366699216,8.23652321458996,16.180068991301887
2014-11-15,376.1329956054688,405.5280151367188,371.0079956054688,399.6499938964844,15727500,388.01857212611606,362.2760335286458,8.637562882133116,8.870058707965445
2014-11-16,387.8819885253906,390.7990112304688,374.60198974609375,374.7300109863281,11905600,391.5354265485491,362.4134999593099,4.322317671259588,6.776884151507523
2014-11-17,387.4079895019531,410.1990051269531,377.50201416015625,388.3489990234375,41518800,394.46170915876115,362.27903340657554,8.419486350941659,5.582621372417651
2014-11-18,375.197998046875,392.4020080566406,371.1170043945313,387.7850036621094,32222500,395.53356497628346,361.80076700846354,5.488867145738231,2.0405473485367143
2014-11-19,380.5549926757813,386.4809875488281,373.89599609375,373.89599609375,18931800,389.38984898158486,361.72443339029945,3.3659069865842017,-10.153439880420013
2014-11-20,357.8399963378906,382.0249938964844,356.781005859375,380.3070068359375,25233200,380.40485055106035,360.7699330647786,6.637791989985475,-14.948837440061558
2014-11-21,350.8479919433594,357.8789978027344,344.11199951171875,357.8789978027344,29850100,373.6948503766742,359.69293314615885,3.8468304582109343,-11.806907185651704
2014-11-22,352.9200134277344,364.8410034179688,350.87799072265625,351.60400390625,15273000,370.3787100655692,359.50970052083335,3.9712325628224603,-6.171482547115559
2014-11-23,367.572998046875,370.8450012207031,353.17498779296875,353.17498779296875,15151600,367.4774257114955,359.8173004150391,5.003189364613935,-5.2358684030996745
2014-11-24,376.9010009765625,387.2090148925781,366.66900634765625,366.947998046875,30930100,365.97642735072543,360.8049672444661,5.597525713247804,-2.71212489419701
2014-11-25,375.3479919433594,394.7009887695313,374.7839965820313,376.885986328125,25442200,365.9978550502232,361.49309997558595,5.2846199938460545,0.03997726460833739
2014-11-26,368.3699951171875,377.697998046875,365.8160095214844,376.0190124511719,18601700,364.25714111328125,362.00579935709635,3.159943548581487,-3.2019019046151342
2014-11-27,369.6700134277344,373.9920043945313,368.2820129394531,370.50201416015625,8748030,365.9471435546875,362.40753275553385,1.5411499092714604,3.305951601528978
2014-11-28,376.4469909667969,382.8380126953125,358.4549865722656,369.3739929199219,22946500,369.60414341517856,363.76939900716144,6.601175662178516,7.296321943199313
2014-11-29,375.4909973144531,387.60101318359375,372.1449890136719,376.1520080566406,15375600,372.8285696847098,364.7755991617839,4.108983559538654,6.395495587654021
2014-11-30,378.0469970703125,382.5270080566406,373.3089904785156,375.510009765625,9194440,374.3248552594866,366.09979858398435,2.4547994296818976,2.849501753146133
2014-12-01,379.2449951171875,383.6619873046875,376.66900634765625,378.2489929199219,11763000,374.6597115652902,367.88299865722655,1.8487771515393607,0.6219124211799931
2014-12-02,381.3150024414063,384.0379943847656,377.8630065917969,379.25,12364100,375.5121416364397,369.7304321289063,1.6282103607036917,1.5897275664518151
2014-12-03,375.010009765625,383.0260009765625,374.3460083007813,381.7219848632813,13340100,376.4607151576451,371.312299601237,2.2739043125561778,1.8025394946526996
2014-12-04,369.60400390625,378.6549987792969,367.7590026855469,375.7179870605469,14529600,376.4512852260045,372.61603291829425,2.9000464361569445,-0.017856336485699842
2014-12-05,376.85400390625,379.1919860839844,365.7560119628906,369.4419860839844,15181800,376.5094299316406,373.86163330078125,3.636829225479364,0.10811958900449614
2014-12-06,374.7850036621094,378.447998046875,370.9450073242188,376.7569885253906,7009320,376.40857369559154,374.7114664713542,1.9914669007262613,-0.18801879602788896
2014-12-07,375.0950012207031,376.2919921875,373.2749938964844,374.83599853515625,6491650,375.9868600027902,375.80079956054686,0.8048848837374026,-0.7808541986805806
2014-12-08,361.9089965820313,376.0289916992188,361.885986328125,374.9649963378906,18898700,373.51028878348217,376.34816589355466,3.771820172341948,-4.571187163537738
2014-12-09,352.218994140625,363.0669860839844,344.95098876953125,361.8949890136719,32915500,369.3537161690848,375.97999877929686,5.005871278800362,-7.630438906020299
2014-12-10,346.364990234375,352.3840026855469,346.364990234375,352.2049865722656,16427700,365.2615705217634,375.29469807942706,1.7089515142162504,-7.638467983602004
